+------+--------------------+-------------+---------------+
| Rank |     Drug Name      | Target Name | Binding Score |
| 969  |     Hesperetin     |    Q9MYB9   |      4.82     |
| 970  |    Cannflavin C    |    P35968   |      4.82     |
| 971  |     Canniprene     |    B5A939   |      4.82     |
| 972  | Cannabistilbene I  |    Q9BX67   |      4.82     |
| 973  |     Canniprene     |    B5A951   |      4.82     |
| 974  |     Quercetin      |    Q93099   |      4.82     |
| 975  |     Quercetin      |    P09326   |      4.82     |
| 976  |    Cannflavin B    |    P09603   |      4.81     |
| 977  |    Cannflavin A    |    Q9NV23   |      4.81     |
| 978  | 6-prenylnaringenin |    Q8TDF6   |      4.81     |
| 979  |    Cannflavin C    |    Q30201   |      4.81     |
| 980  | Cannabistilbene I  |    Q96P20   |      4.81     |
| 981  |     Hesperetin     |    Q30201   |      4.81     |
| 982  |     Quercetin      |    P31994   |      4.81     |
| 983  |    Cannflavin A    |    P08253   |      4.81     |
| 984  |     Quercetin      |    Q92743   |      4.81     |
| 985  |    Cannflavin B    |    B5A953   |      4.81     |
| 986  |     Canniprene     |    Q16552   |      4.81     |
| 987  |     Quercetin      |    P11021   |      4.81     |
| 988  |    Cannflavin A    |    Q86VB7   |      4.81     |
| 989  |    Cannflavin B    |    B5A929   |      4.81     |
| 990  |     Hesperetin     |    P55774   |      4.81     |
| 991  |     Canniprene     |    B5A960   |      4.81     |
| 992  |      Luteolin      |    Q8IUL8   |      4.81     |
| 993  |     Hesperetin     |    Q96P20   |      4.81     |
| 994  |    Cannflavin B    |    A0N5G2   |      4.81     |
| 995  |     Canniprene     |    Q86YJ6   |      4.81     |
| 996  |     Quercetin      |    B5A940   |      4.81     |
| 997  |     Quercetin      |    P53621   |      4.81     |
| 998  |     Canniprene     |    B5A938   |      4.81     |
| 999  |      Luteolin      |    Q08334   |      4.81     |
| 1000 |      Luteolin      |    P05109   |      4.81     |
| 1001 | Cannabistilbene I  |    P01911   |      4.80     |
| 1002 | Cannabistilbene I  |    P01374   |      4.80     |
| 1003 |     Hesperetin     |    Q30047   |      4.80     |
| 1004 |    Cannflavin C    |    P09619   |      4.80     |
| 1005 |     Canniprene     |    Q5VWK5   |      4.80     |
| 1006 |    Cannflavin A    |    P50281   |      4.80     |
| 1007 | Cannabistilbene I  |    Q13546   |      4.80     |
| 1008 |      Luteolin      |    A0N5G3   |      4.80     |
| 1009 |     Canniprene     |    O14802   |      4.80     |
| 1010 |    Cannflavin B    |    P20810   |      4.80     |
| 1011 |     Hesperetin     |    A0N5G4   |      4.80     |
| 1012 | 6-prenylnaringenin |    Q969H8   |      4.80     |
| 1013 |    Cannflavin B    |    B5A936   |      4.80     |
| 1014 |    Cannflavin C    |    I7HB73   |      4.80     |
| 1015 |     Quercetin      |    Q9BV73   |      4.80     |
| 1016 |      Luteolin      |    P55085   |      4.80     |
| 1017 |      Luteolin      |    P19823   |      4.80     |
| 1018 |    Cannflavin A    |    K4RH61   |      4.80     |
| 1019 |      Luteolin      |    B5A941   |      4.80     |
| 1020 |     Quercetin      |    Q96GV9   |      4.80     |
| 1021 |     Hesperetin     |    Q9BX67   |      4.80     |
| 1022 | Cannabistilbene I  |    P35968   |      4.80     |
| 1023 |     Quercetin      |    Q9Y2G2   |      4.80     |
| 1024 |    Cannflavin C    |  A0A5K1TT58 |      4.80     |
| 1025 |      Luteolin      |    Q14765   |      4.80     |
| 1026 |    Cannflavin A    |    P20333   |      4.80     |
| 1027 |    Cannflavin B    |    Q8WVB3   |      4.80     |
| 1028 |      Luteolin      |    Q9NSU2   |      4.80     |
| 1029 |      Luteolin      |    Q9BUI4   |      4.80     |
| 1030 |     Canniprene     |    Q9NV23   |      4.80     |
| 1031 |     Quercetin      |    B5A963   |      4.79     |
| 1032 |    Cannflavin C    |    Q30157   |      4.79     |
| 1033 |    Cannflavin A    |    Q12841   |      4.79     |
| 1034 |    Cannflavin C    |    Q96P20   |      4.79     |
| 1035 |     Hesperetin     |    E1CJT3   |      4.79     |
| 1036 |     Quercetin      |    O14879   |      4.79     |
| 1037 |    Cannflavin A    |    Q6DN72   |      4.79     |
| 1038 |     Canniprene     |    Q86VB7   |      4.79     |
| 1039 |     Quercetin      |    Q29980   |      4.79     |
| 1040 |      Luteolin      |    Q9BYX4   |      4.79     |
| 1041 |     Quercetin      |    Q8TCW2   |      4.79     |
| 1042 |     Quercetin      |    Q9UP07   |      4.79     |
| 1043 |    Cannflavin A    |    B5A959   |      4.79     |
| 1044 |      Luteolin      |    Q9HCJ1   |      4.79     |
| 1045 |     Quercetin      |    P18510   |      4.79     |
| 1046 |     Quercetin      |    B5A978   |      4.79     |
| 1047 |     Quercetin      |    Q8IV20   |      4.79     |
| 1048 |    Cannflavin B    |    B5A934   |      4.79     |
| 1049 |     Quercetin      |    B5A958   |      4.79     |
| 1050 |    Cannflavin A    |    Q9NY25   |      4.79     |
| 1051 |      Luteolin      |    O15553   |      4.79     |
| 1052 | 6-prenylnaringenin |    A0RZF8   |      4.79     |
| 1053 |      Luteolin      |    B5A943   |      4.79     |
| 1054 |     Canniprene     |    P08253   |      4.79     |
| 1055 |     Quercetin      |    P78536   |      4.78     |
| 1056 | 6-prenylnaringenin |    P80511   |      4.78     |
| 1057 | 6-prenylnaringenin |    P01589   |      4.78     |
| 1058 |    Cannflavin C    |    Q9HBA0   |      4.78     |
| 1059 |    Cannflavin B    |    Q86TM6   |      4.78     |
| 1060 |    Cannflavin A    |    Q8IUL8   |      4.78     |
| 1061 |     Canniprene     |    P50281   |      4.78     |
| 1062 |    Cannflavin C    |    O75370   |      4.78     |
| 1063 | Cannabistilbene I  |    I7HB73   |      4.78     |
| 1064 |      Luteolin      |    B5A961   |      4.78     |
| 1065 |      Luteolin      |    P02766   |      4.78     |
| 1066 |    Cannflavin A    |    Q08334   |      4.78     |
| 1067 |     Canniprene     |    K4RH61   |      4.78     |
| 1068 | Cannabistilbene I  |    O75370   |      4.78     |
| 1069 |    Cannflavin B    |    B5A935   |      4.78     |
| 1070 |    Cannflavin B    |    Q96ER3   |      4.78     |
| 1071 |    Cannflavin B    |    G1UCX3   |      4.78     |
| 1072 |     Canniprene     |    P20333   |      4.78     |
| 1073 |    Cannflavin B    |    B5A924   |      4.78     |
| 1074 |     Hesperetin     |    P01374   |      4.78     |
| 1075 | Cannabistilbene I  |    A0N5G7   |      4.78     |
| 1076 |     Canniprene     |    Q12841   |      4.78     |
| 1077 | 6-prenylnaringenin |    Q30156   |      4.78     |
| 1078 |    Cannflavin B    |    Q16552   |      4.78     |
| 1079 |    Cannflavin B    |    B5A933   |      4.78     |
| 1080 | Cannabistilbene I  |    P09619   |      4.78     |
| 1081 | Cannabistilbene I  |    Q3KP44   |      4.77     |
| 1082 |    Cannflavin B    |    B5A931   |      4.77     |
| 1083 |    Cannflavin A    |    A0N5G3   |      4.77     |
| 1084 |     Canniprene     |    Q6DN72   |      4.77     |
| 1085 |    Cannflavin C    |    Q3KP44   |      4.77     |
| 1086 |     Hesperetin     |    P01911   |      4.77     |
| 1087 |    Cannflavin A    |    P05109   |      4.77     |
| 1088 | Cannabistilbene I  |  A0A5K1TT58 |      4.77     |
| 1089 |     Hesperetin     |    Q13546   |      4.77     |
| 1090 | 6-prenylnaringenin |    Q13651   |      4.77     |
| 1091 |    Cannflavin A    |    B5A941   |      4.77     |
| 1092 |    Cannflavin A    |    P19823   |      4.77     |
| 1093 |    Cannflavin C    |    A0N5G7   |      4.77     |
| 1094 |    Cannflavin A    |    Q14765   |      4.77     |
| 1095 |    Cannflavin B    |    P01375   |      4.77     |
| 1096 |     Canniprene     |    B5A959   |      4.77     |
| 1097 |     Quercetin      |    P50148   |      4.77     |
| 1098 |     Hesperetin     |    P35968   |      4.77     |
| 1099 | 6-prenylnaringenin |    P14174   |      4.77     |
| 1100 |    Cannflavin B    |    P54762   |      4.77     |
| 1101 |    Cannflavin B    |    Q92805   |      4.77     |
| 1102 |    Cannflavin B    |    P21709   |      4.77     |
| 1103 |    Cannflavin C    |    A2VED2   |      4.77     |
| 1104 |     Quercetin      |    B5A962   |      4.77     |
| 1105 |    Cannflavin B    |    P54760   |      4.77     |
| 1106 |    Cannflavin B    |    B5A937   |      4.77     |
| 1107 |      Luteolin      |    O75339   |      4.77     |
| 1108 |    Cannflavin C    |    Q30048   |      4.77     |
| 1109 | Cannabistilbene I  |    Q30157   |      4.77     |
| 1110 |      Luteolin      |    O75792   |      4.77     |
| 1111 |     Canniprene     |    Q9NY25   |      4.77     |
| 1112 | Cannabistilbene I  |    A2VED2   |      4.77     |
| 1113 |    Cannflavin B    |    Q30035   |      4.77     |
| 1114 | Cannabistilbene I  |    P10721   |      4.77     |
| 1115 |    Cannflavin A    |    P55085   |      4.77     |
| 1116 | Cannabistilbene I  |    Q30048   |      4.76     |
| 1117 |    Cannflavin B    |    Q86VB7   |      4.76     |
| 1118 | Cannabistilbene I  |    Q9HBA0   |      4.76     |
| 1119 |     Quercetin      |    Q8TDP1   |      4.76     |
| 1120 |    Cannflavin A    |    Q9BYX4   |      4.76     |
| 1121 |     Hesperetin     |    A0N5G7   |      4.76     |
| 1122 |    Cannflavin B    |    B5A939   |      4.76     |
| 1123 |    Cannflavin A    |    Q9BUI4   |      4.76     |
| 1124 |    Cannflavin A    |    Q9NSU2   |      4.76     |
| 1125 |     Quercetin      |    Q9HB29   |      4.76     |
| 1126 |     Canniprene     |    Q8IUL8   |      4.76     |
| 1127 |      Luteolin      |    Q9H015   |      4.76     |
| 1128 |      Luteolin      |    Q8TCW4   |      4.76     |
| 1129 |     Hesperetin     |    O75370   |      4.76     |
| 1130 |     Hesperetin     |    Q3KP44   |      4.76     |
| 1131 |    Cannflavin C    |    P06702   |      4.76     |
| 1132 |    Cannflavin A    |    O15553   |      4.76     |
| 1133 |     Canniprene     |    Q08334   |      4.76     |
| 1134 |    Cannflavin B    |    B5A951   |      4.76     |
| 1135 |    Cannflavin A    |    B5A943   |      4.76     |
| 1136 |    Cannflavin C    |    Q969H8   |      4.76     |
| 1137 |    Cannflavin A    |    Q9HCJ1   |      4.76     |
| 1138 |      Luteolin      |    B5A942   |      4.76     |
| 1139 |      Luteolin      |    P02794   |      4.76     |
| 1140 | Cannabistilbene I  |    P06702   |      4.76     |
| 1141 |    Cannflavin B    |    P14780   |      4.76     |
| 1142 |      Luteolin      |    Q8TCW3   |      4.76     |
| 1143 | 6-prenylnaringenin |    Q16832   |      4.76     |
| 1144 | 6-prenylnaringenin |    P48960   |      4.76     |
| 1145 |     Canniprene     |    A0N5G3   |      4.76     |
| 1146 |      Luteolin      |    Q93099   |      4.76     |
| 1147 |      Luteolin      |    P53621   |      4.76     |
| 1148 |     Hesperetin     |    I7HB73   |      4.76     |
| 1149 |     Quercetin      |    P40189   |      4.75     |
| 1150 |    Cannflavin B    |    B5A938   |      4.75     |
| 1151 |     Canniprene     |    P05109   |      4.75     |
| 1152 |     Canniprene     |    P19823   |      4.75     |
| 1153 |     Quercetin      |    Q01201   |      4.75     |
| 1154 |    Cannflavin B    |    B5A960   |      4.75     |
| 1155 |     Quercetin      |    Q99542   |      4.75     |
| 1156 |     Canniprene     |    B5A941   |      4.75     |
| 1157 |     Canniprene     |    Q14765   |      4.75     |
| 1158 |    Cannflavin B    |    O14802   |      4.75     |
| 1159 |    Cannflavin C    |    P80511   |      4.75     |
| 1160 |    Cannflavin C    |    Q8TDF6   |      4.75     |
| 1161 |      Luteolin      |    Q92743   |      4.75     |
| 1162 |      Luteolin      |    P09326   |      4.75     |
| 1163 |    Cannflavin B    |    Q86YJ6   |      4.75     |
| 1164 |     Hesperetin     |    A2VED2   |      4.75     |
| 1165 |     Canniprene     |    P55085   |      4.75     |
| 1166 | Cannabistilbene I  |    Q8TDF6   |      4.75     |
| 1167 |    Cannflavin B    |    Q5VWK5   |      4.75     |
| 1168 |     Quercetin      |    Q12884   |      4.75     |
| 1169 |    Cannflavin C    |    Q30156   |      4.75     |
| 1170 |     Hesperetin     |    Q30048   |      4.75     |
| 1171 |     Hesperetin     |    P10721   |      4.75     |
| 1172 |    Cannflavin A    |    B5A961   |      4.75     |
| 1173 |      Luteolin      |    P11021   |      4.75     |
| 1174 |    Cannflavin B    |    Q6DN72   |      4.75     |
| 1175 |    Cannflavin A    |    P02766   |      4.75     |
| 1176 |     Hesperetin     |    P09619   |      4.75     |
| 1177 |      Luteolin      |    B5A940   |      4.74     |
| 1178 |     Canniprene     |    Q9NSU2   |      4.74     |
| 1179 |     Hesperetin     |  A0A5K1TT58 |      4.74     |
| 1180 |     Canniprene     |    Q9BUI4   |      4.74     |
| 1181 |     Canniprene     |    Q9BYX4   |      4.74     |
| 1182 | Cannabistilbene I  |    Q969H8   |      4.74     |
| 1183 |    Cannflavin C    |    A0RZF8   |      4.74     |
| 1184 | 6-prenylnaringenin |    P98066   |      4.74     |
| 1185 |      Luteolin      |    P31994   |      4.74     |
| 1186 | 6-prenylnaringenin |    A0RZG0   |      4.74     |
| 1187 |     Canniprene     |    O15553   |      4.74     |
| 1188 |     Quercetin      |    Q8TD31   |      4.74     |
| 1189 |    Cannflavin B    |    Q9NV23   |      4.74     |
| 1190 | 6-prenylnaringenin |    P16112   |      4.74     |
| 1191 |      Luteolin      |    B5A982   |      4.74     |
| 1192 |    Cannflavin C    |    P10721   |      4.74     |
| 1193 |     Canniprene     |    B5A943   |      4.74     |
| 1194 | Cannabistilbene I  |    Q9HC29   |      4.74     |
| 1195 |     Hesperetin     |    Q30157   |      4.74     |
| 1196 |     Hesperetin     |    P06702   |      4.74     |
| 1197 |     Hesperetin     |    Q9HC29   |      4.74     |
| 1198 | 6-prenylnaringenin |    A0RZF9   |      4.74     |
| 1199 |     Canniprene     |    Q9HCJ1   |      4.74     |
| 1200 |     Quercetin      |    Q13501   |      4.74     |
| 1201 |    Cannflavin A    |    O75339   |      4.74     |
| 1202 | 6-prenylnaringenin |    C0LTP6   |      4.74     |
| 1203 |     Hesperetin     |    Q9HBA0   |      4.74     |
| 1204 |    Cannflavin A    |    O75792   |      4.74     |
| 1205 |    Cannflavin A    |    Q9H015   |      4.73     |
| 1206 |     Quercetin      |    B5A979   |      4.73     |
| 1207 |      Luteolin      |    Q8NIA0   |      4.73     |
| 1208 |    Cannflavin B    |    P50281   |      4.73     |
| 1209 |      Luteolin      |    Q9BV73   |      4.73     |
| 1210 | Cannabistilbene I  |    A0RZF8   |      4.73     |
| 1211 |      Luteolin      |    P18510   |      4.73     |
| 1212 |     Quercetin      |    B5A980   |      4.73     |
| 1213 | 6-prenylnaringenin |    I7GY82   |      4.73     |
| 1214 | 6-prenylnaringenin |    Q14789   |      4.73     |
| 1215 |    Cannflavin A    |    B5A942   |      4.73     |
| 1216 |      Luteolin      |    Q96GV9   |      4.73     |
| 1217 |    Cannflavin A    |    Q8TCW4   |      4.73     |
| 1218 |    Cannflavin B    |    K4RH61   |      4.73     |
| 1219 | Cannabistilbene I  |    P80511   |      4.73     |
| 1220 |    Cannflavin B    |    P19823   |      4.73     |
| 1221 | 6-prenylnaringenin |    Q99571   |      4.73     |
| 1222 |     Canniprene     |    B5A961   |      4.73     |
| 1223 |    Cannflavin A    |    Q93099   |      4.73     |
| 1224 |     Quercetin      |    P17706   |      4.73     |
| 1225 |      Luteolin      |    Q8IV20   |      4.73     |
| 1226 |     Hesperetin     |    Q8TDF6   |      4.73     |
| 1227 | 6-prenylnaringenin |    P48736   |      4.73     |
| 1228 |     Canniprene     |    P02766   |      4.73     |
| 1229 |    Cannflavin A    |    P53621   |      4.73     |
| 1230 |     Quercetin      |    P09429   |      4.73     |
| 1231 |    Cannflavin A    |    P02794   |      4.73     |
| 1232 |    Cannflavin A    |    Q8TCW3   |      4.73     |
| 1233 | 6-prenylnaringenin |    P41159   |      4.73     |
| 1234 |      Luteolin      |    O14879   |      4.73     |
| 1235 |      Luteolin      |    Q29980   |      4.72     |
| 1236 |    Cannflavin C    |    Q06187   |      4.72     |
| 1237 |    Cannflavin A    |    P09326   |      4.72     |
| 1238 |    Cannflavin C    |    Q16832   |      4.72     |
| 1239 |    Cannflavin B    |    Q8IUL8   |      4.72     |
| 1240 | Cannabistilbene I  |    Q30156   |      4.72     |
| 1241 | 6-prenylnaringenin |    B5A948   |      4.72     |
| 1242 |    Cannflavin A    |    Q92743   |      4.72     |
| 1243 |    Cannflavin C    |    P01589   |      4.72     |
| 1244 | 6-prenylnaringenin |    Q8N4C6   |      4.72     |
| 1245 |      Luteolin      |    Q9Y2G2   |      4.72     |
| 1246 | 6-prenylnaringenin |    P35590   |      4.72     |
| 1247 | Cannabistilbene I  |    P01589   |      4.72     |
| 1248 |    Cannflavin B    |    P20333   |      4.72     |
| 1249 |    Cannflavin A    |    P11021   |      4.72     |
| 1250 |    Cannflavin C    |    Q9HC29   |      4.72     |
| 1251 |      Luteolin      |    P41240   |      4.72     |
| 1252 |     Quercetin      |    Q03426   |      4.72     |
| 1253 |     Canniprene     |    O75339   |      4.72     |
| 1254 |    Cannflavin B    |    Q12841   |      4.72     |
| 1255 |     Hesperetin     |    Q969H8   |      4.72     |
| 1256 |    Cannflavin A    |    B5A940   |      4.72     |
| 1257 |    Cannflavin B    |    B5A959   |      4.72     |
| 1258 |     Canniprene     |    Q9H015   |      4.72     |
| 1259 | 6-prenylnaringenin |    Q53HY9   |      4.71     |
| 1260 |     Canniprene     |    O75792   |      4.71     |
| 1261 |      Luteolin      |    B5A963   |      4.71     |
| 1262 | 6-prenylnaringenin |    A2VED1   |      4.71     |
| 1263 |      Luteolin      |    B5A958   |      4.71     |
| 1264 |    Cannflavin B    |    A0N5G3   |      4.71     |
| 1265 |    Cannflavin B    |    Q9NY25   |      4.71     |
| 1266 |     Canniprene     |    Q8TCW4   |      4.71     |
| 1267 | 6-prenylnaringenin |    A2NVP9   |      4.71     |
| 1268 |    Cannflavin C    |    Q13651   |      4.71     |
| 1269 |      Luteolin      |    Q9UP07   |      4.71     |
| 1270 |     Canniprene     |    B5A942   |      4.71     |
| 1271 | 6-prenylnaringenin |    Q92633   |      4.71     |
| 1272 | Cannabistilbene I  |    Q13651   |      4.71     |
| 1273 |     Hesperetin     |    A0RZF8   |      4.71     |
| 1274 |     Canniprene     |    Q93099   |      4.71     |
| 1275 |    Cannflavin A    |    P31994   |      4.71     |
| 1276 |    Cannflavin A    |    B5A982   |      4.71     |
| 1277 |     Canniprene     |    P53621   |      4.71     |
| 1278 |     Quercetin      |    Q9NZH7   |      4.71     |
| 1279 |     Canniprene     |    P02794   |      4.71     |
| 1280 |      Luteolin      |    Q01201   |      4.71     |
| 1281 |     Canniprene     |    Q8TCW3   |      4.71     |
| 1282 |      Luteolin      |    Q9HB29   |      4.71     |
| 1283 |      Luteolin      |    Q8TCW2   |      4.71     |
| 1284 |    Cannflavin B    |    B5A941   |      4.70     |
| 1285 |    Cannflavin B    |    Q14765   |      4.70     |
| 1286 |     Canniprene     |    P09326   |      4.70     |
| 1287 | 6-prenylnaringenin |    Q14839   |      4.70     |
| 1288 |    Cannflavin A    |    P18510   |      4.70     |
| 1289 |    Cannflavin B    |    Q08334   |      4.70     |
| 1290 |     Hesperetin     |    P01589   |      4.70     |
| 1291 |     Quercetin      |    Q29983   |      4.70     |
| 1292 | 6-prenylnaringenin |    P08581   |      4.70     |
| 1293 |    Cannflavin B    |    O15553   |      4.70     |
| 1294 | 6-prenylnaringenin |    Q06187   |      4.70     |
| 1295 |     Canniprene     |    Q92743   |      4.70     |
| 1296 |    Cannflavin C    |    P41159   |      4.70     |
| 1297 |     Hesperetin     |    P80511   |      4.70     |
| 1298 | Cannabistilbene I  |    Q16832   |      4.70     |
| 1299 | Cannabistilbene I  |    P14174   |      4.70     |
| 1300 |      Luteolin      |    P50148   |      4.70     |
| 1301 |    Cannflavin A    |    Q8NIA0   |      4.70     |
| 1302 |    Cannflavin C    |    I7GY82   |      4.70     |
| 1303 |    Cannflavin A    |    Q9BV73   |      4.70     |
| 1304 |     Canniprene     |    P11021   |      4.70     |
| 1305 |      Luteolin      |    Q12884   |      4.70     |
| 1306 |    Cannflavin A    |    Q8IV20   |      4.70     |
| 1307 |    Cannflavin A    |    O14879   |      4.70     |
| 1308 | 6-prenylnaringenin |    Q8N6P7   |      4.70     |
| 1309 |    Cannflavin A    |    Q96GV9   |      4.70     |
| 1310 |     Quercetin      |    P40763   |      4.70     |
| 1311 | 6-prenylnaringenin |    Q4LE39   |      4.70     |
| 1312 |     Hesperetin     |    P14174   |      4.70     |
| 1313 |     Canniprene     |    B5A940   |      4.70     |
| 1314 |    Cannflavin C    |    P98066   |      4.70     |
| 1315 |      Luteolin      |    B5A978   |      4.70     |
| 1316 |    Cannflavin A    |    Q29980   |      4.70     |
| 1317 | 6-prenylnaringenin |    I7H3Z5   |      4.70     |
| 1318 |     Hesperetin     |    Q30156   |      4.70     |
| 1319 |    Cannflavin B    |    P05109   |      4.70     |
| 1320 |    Cannflavin C    |    P48960   |      4.70     |
| 1321 |    Cannflavin C    |    C0LTP6   |      4.69     |
| 1322 |     Quercetin      |    P50454   |      4.69     |
| 1323 | Cannabistilbene I  |    P48960   |      4.69     |
| 1324 |    Cannflavin C    |    Q92633   |      4.69     |
| 1325 |      Luteolin      |    B5A962   |      4.69     |
| 1326 |     Quercetin      |    P02747   |      4.69     |
| 1327 | 6-prenylnaringenin |    Q03519   |      4.69     |
| 1328 | 6-prenylnaringenin |    P17948   |      4.69     |
| 1329 |     Hesperetin     |    Q13651   |      4.69     |
| 1330 | 6-prenylnaringenin |    Q8NI89   |      4.69     |
| 1331 | 6-prenylnaringenin |    Q13444   |      4.69     |
| 1332 |    Cannflavin C    |    Q14789   |      4.69     |
| 1333 |    Cannflavin B    |    P55085   |      4.69     |
| 1334 |    Cannflavin A    |    Q9Y2G2   |      4.69     |
| 1335 |    Cannflavin B    |    Q9H015   |      4.69     |
| 1336 |    Cannflavin B    |    Q9BYX4   |      4.69     |
| 1337 |    Cannflavin C    |    A2VED1   |      4.69     |
| 1338 |    Cannflavin B    |    B5A943   |      4.69     |
| 1339 |     Canniprene     |    B5A982   |      4.69     |
| 1340 |     Canniprene     |    P18510   |      4.69     |
| 1341 | Cannabistilbene I  |    P98066   |      4.69     |
| 1342 |    Cannflavin B    |    Q9BUI4   |      4.69     |
| 1343 |     Canniprene     |    P31994   |      4.69     |
| 1344 |    Cannflavin B    |    Q9NSU2   |      4.69     |
| 1345 |      Luteolin      |    P40189   |      4.69     |
| 1346 |    Cannflavin C    |    B5A948   |      4.69     |
| 1347 |    Cannflavin C    |    P14174   |      4.69     |
| 1348 |      Luteolin      |    Q8TDP1   |      4.69     |
| 1349 |    Cannflavin A    |    P41240   |      4.68     |
| 1350 |    Cannflavin B    |    Q9HCJ1   |      4.68     |
| 1351 |    Cannflavin C    |    P16112   |      4.68     |
| 1352 |    Cannflavin B    |    P53621   |      4.68     |
| 1353 | 6-prenylnaringenin |    A0N5G1   |      4.68     |
| 1354 |    Cannflavin C    |    A2NVP9   |      4.68     |
| 1355 |    Cannflavin C    |    A0RZG0   |      4.68     |
| 1356 |     Quercetin      |    P29460   |      4.68     |
| 1357 |     Quercetin      |    Q9UBC1   |      4.68     |
| 1358 |    Cannflavin A    |    B5A963   |      4.68     |
| 1359 |     Canniprene     |    Q8NIA0   |      4.68     |
| 1360 |      Luteolin      |    Q99542   |      4.68     |
| 1361 | Cannabistilbene I  |    P16112   |      4.68     |
| 1362 |     Canniprene     |    O14879   |      4.68     |
| 1363 |    Cannflavin A    |    Q01201   |      4.68     |
| 1364 |    Cannflavin C    |    A0RZF9   |      4.68     |
| 1365 |    Cannflavin C    |    O00329   |      4.68     |
| 1366 |     Canniprene     |    Q9BV73   |      4.68     |
| 1367 |    Cannflavin A    |    B5A958   |      4.68     |
| 1368 | 6-prenylnaringenin |    Q9BZZ2   |      4.68     |
| 1369 |    Cannflavin B    |    Q93099   |      4.68     |
| 1370 |     Quercetin      |    P04083   |      4.68     |
| 1371 | Cannabistilbene I  |    A0RZG0   |      4.68     |
| 1372 |     Hesperetin     |    P48960   |      4.68     |
| 1373 | Cannabistilbene I  |    C0LTP6   |      4.68     |
| 1374 |     Canniprene     |    Q8IV20   |      4.68     |
| 1375 | Cannabistilbene I  |    I7GY82   |      4.68     |
| 1376 |    Cannflavin A    |    Q9HB29   |      4.68     |
| 1377 |    Cannflavin C    |    Q8N4C6   |      4.68     |
| 1378 |    Cannflavin A    |    Q9UP07   |      4.68     |
| 1379 | Cannabistilbene I  |    Q14789   |      4.68     |
| 1380 |     Canniprene     |    Q96GV9   |      4.68     |
| 1381 |      Luteolin      |    P78536   |      4.68     |
| 1382 |     Quercetin      |    B5A981   |      4.68     |
| 1383 | Cannabistilbene I  |    P41159   |      4.68     |
| 1384 | Cannabistilbene I  |    A0RZF9   |      4.68     |
| 1385 | 6-prenylnaringenin |    Q9C000   |      4.68     |
| 1386 |     Canniprene     |    Q29980   |      4.68     |
| 1387 | 6-prenylnaringenin |    A5LIN1   |      4.68     |
| 1388 |     Hesperetin     |    Q16832   |      4.67     |
| 1389 | Cannabistilbene I  |    Q06187   |      4.67     |
| 1390 |    Cannflavin A    |    Q12884   |      4.67     |
| 1391 |    Cannflavin A    |    Q8TCW2   |      4.67     |
| 1392 | 6-prenylnaringenin |    O00329   |      4.67     |
| 1393 |      Luteolin      |    Q13501   |      4.67     |
| 1394 | 6-prenylnaringenin |    P58397   |      4.67     |
| 1395 |    Cannflavin A    |    P50148   |      4.67     |
| 1396 |    Cannflavin B    |    P08253   |      4.67     |
| 1397 |    Cannflavin B    |    B5A961   |      4.67     |
| 1398 | Cannabistilbene I  |    B5A948   |      4.67     |
| 1399 |    Cannflavin B    |    Q92743   |      4.67     |
| 1400 | 6-prenylnaringenin |    A0N5G2   |      4.67     |
| 1401 |     Canniprene     |    Q9Y2G2   |      4.67     |
| 1402 |     Quercetin      |    P20963   |      4.67     |
| 1403 |    Cannflavin C    |    Q99571   |      4.67     |
| 1404 |     Canniprene     |    P41240   |      4.67     |
| 1405 |    Cannflavin B    |    O75339   |      4.67     |
| 1406 |    Cannflavin B    |    P02766   |      4.67     |
| 1407 |     Quercetin      |    P51580   |      4.67     |
| 1408 |     Quercetin      |    Q7LGC8   |      4.67     |
| 1409 |    Cannflavin B    |    P09326   |      4.67     |
| 1410 | Cannabistilbene I  |    Q99571   |      4.67     |
| 1411 |    Cannflavin C    |    Q8NI89   |      4.67     |
| 1412 | Cannabistilbene I  |    Q92633   |      4.67     |
| 1413 |     Hesperetin     |    P98066   |      4.67     |
| 1414 |    Cannflavin A    |    B5A978   |      4.66     |
| 1415 |      Luteolin      |    P40763   |      4.66     |
| 1416 |     Canniprene     |    Q01201   |      4.66     |
| 1417 | Cannabistilbene I  |    A2VED1   |      4.66     |
| 1418 |     Hesperetin     |    P16112   |      4.66     |
| 1419 |     Canniprene     |    B5A963   |      4.66     |
| 1420 |     Hesperetin     |    A0RZG0   |      4.66     |
| 1421 |    Cannflavin B    |    O75792   |      4.66     |
| 1422 | Cannabistilbene I  |    Q8N4C6   |      4.66     |
| 1423 |    Cannflavin B    |    P11021   |      4.66     |
| 1424 |    Cannflavin B    |    P18510   |      4.66     |
| 1425 |    Cannflavin C    |    P08581   |      4.66     |
| 1426 |      Luteolin      |    P09429   |      4.66     |
| 1427 |    Cannflavin A    |    B5A962   |      4.66     |
| 1428 |    Cannflavin C    |    Q4LE39   |      4.66     |
| 1429 |    Cannflavin B    |    B5A942   |      4.66     |
| 1430 | Cannabistilbene I  |    A2NVP9   |      4.66     |
| 1431 |    Cannflavin C    |    P35590   |      4.66     |
| 1432 |     Canniprene     |    B5A958   |      4.66     |
| 1433 |     Hesperetin     |    A0RZF9   |      4.66     |
| 1434 | 6-prenylnaringenin |    Q8WVB3   |      4.66     |
